tanggal,periode,teks_bersih,sentimen,likes,retweet,username
2024-09-20 00:10:37,sebelum,keterangan pajak menurut dilantik beban fiskal rupiah defisit,netral,7,3,wahyu
2024-09-20 02:02:07,sebelum,pelantikanpresiden mengheningkan cipta salut menteri kerja nyata optimis mantap semangat,positif,8,3,tari8880
2024-09-20 04:08:35,sebelum,titipan partai patut ditiru pasukan pengamanan amanah solid kesiapan tegas bangga protokol apresiasi mantap gladi bersih,positif,4,1,lukman24667
2024-09-20 04:25:22,sebelum,panitia purna tugas pencitraan warisan rakyat susah omong kosong kecewa berat kritik,negatif,103,23,yuda6506
2024-09-20 05:07:18,sebelum,demokrasi kecewa bangga kecewa berat tidak becus elit boros susah kemunduran demokrasi asal bapak senang,negatif,3,1,bayu247931
2024-09-20 05:53:16,sebelum,cawe cawe pencitraan protes kemunduran demokrasi bohong etika politik gagal tolak,negatif,1,0,laraswati9171
2024-09-20 06:11:42,sebelum,dijadwalkan tamu negara periode kursi kekuasaan hadir data protokol kenegaraan dokumentasi laporan menurut,netral,2,2,joko20245493
2024-09-20 06:27:30,sebelum,optimis batas usia harap damai rakyat sejahtera sejarah baru putusan legowo,positif,3,2,tonowati9267
2024-09-20 06:29:35,sebelum,salut semangat pencitraan khidmat tegas gagah solid bangga amanah tamu negara kepala negara diplomatik perwakilan sukses,positif,6,3,citra_jkt1075
2024-09-20 06:42:47,sebelum,utang negara efisiensi anggaran subsidi omong kosong kecewa protes pencitraan kepala negara elit,negatif,65,23,bagas773380
2024-09-20 07:21:38,sebelum,mantap apresiasi program unggulan legowo hormat rakyat sejahtera lancar seratus hari doa harap keterangan,positif,4,1,sari2024
2024-09-20 07:37:08,sebelum,haru salut putusan optimis sukses sejarah baru legowo cawe cawe lancar,positif,11,4,umarxyz7062
2024-09-20 07:47:30,sebelum,pencitraan pesimis basi kecewa doa korupsi dinasti politik demokrasi,negatif,23,7,arif241060
2024-09-20 08:05:15,sebelum,semangat mantap kerja nyata makan bergizi gratis dukung kursi kekuasaan sejarah baru janji kampanye,positif,8,3,dewi887128
2024-09-20 08:31:06,sebelum,mahal muak buang buang uang mahkamah konstitusi omong kosong asal bapak senang cawe cawe etika politik susah putusan kabinet merah putih,negatif,12,4,tariwati7578
2024-09-20 08:35:27,sebelum,korupsi etika politik khawatir tolak buang buang uang kemunduran demokrasi asal bapak senang pakaian adat keterangan cawe cawe mahal,negatif,227,76,eko88
2024-09-20 08:46:30,sebelum,solo sepuluh tahun dijadwalkan reshuffle agenda pendahulu estafet kepemimpinan menyampaikan,netral,8,4,putri7795
2024-09-20 08:56:32,sebelum,janji manis ragu bohong kritik purna tugas pesimis asal bapak senang pendahulu warisan sindir,negatif,13,2,tariku7840
2024-09-20 09:05:02,sebelum,berlangsung kemunduran demokrasi demokrasi dinasti politik tercatat resmi keterangan,netral,24,5,andi
2024-09-20 09:07:18,sebelum,janji kampanye doa susunan acara hilirisasi percaya hormat optimis seratus hari solid swasembada pangan patut ditiru rakyat sejahtera,positif,5,2,lukman_rl5904
2024-09-20 09:12:14,sebelum,nepotisme oligarki periode masa jabatan laporan perwakilan megah hadir siaran langsung demokrasi rangkaian agenda,netral,5,3,budi884513
2024-09-20 09:27:07,sebelum,salut serah terima rakyat sejahtera megah berani amanah rangkaian optimis kerja nyata prosesi pakaian adat bangga mengheningkan cipta,positif,24,5,nanda_jkt
2024-09-20 09:39:51,sebelum,rakyat susah kecewa janji manis khawatir protes asal bapak senang elit basi mahkamah konstitusi kemunduran demokrasi,negatif,40,14,raka20243690
2024-09-20 09:53:09,sebelum,investasi damai bangga rakyat sejahtera utang negara harap,positif,26,8,rizky20245225
2024-09-20 10:23:00,sebelum,dukung rupiah patut ditiru gagah haru sukses beban fiskal hormat harga pangan kepala negara amanah legowo,positif,72,16,vina8676
